key,b_star_traditional,b_star_ml,skip_list_traditional,skip_list_ml
7496970,0.1,0.1,0.3,0.2
7502636,0.3,0.1,0.4,0.2
7483301,0.1,0.1,0.4,0.1
7487791,0.3,0,0.2,0.4
7481017,0.2,0,0.3,0.2
7490521,0.1,0,0.2,0.3
7486952,0.1,0.1,0.3,0.7
7505076,0.2,0,0.2,0.2
7476885,0.2,0,0.3,0.3
7513973,0.1,0,0.5,0.2
7511010,0.2,0,0.5,0.1
7511840,0.1,0,0.2,0.2
7504596,0.1,0,0.3,0.2
7490559,0.1,0.1,0.3,0.2
7497197,0.1,0,0.3,0.3
7483493,0.2,0.1,0.1,1.1
7511851,0.4,0.1,0.2,0.1
7504647,0.1,0,0.3,0.2
7506397,0.1,0,0.3,0.3
7489926,0.2,0,0.4,0.2
7491933,0.1,0,0.3,0.2
7498941,0.1,2.6,0.7,0.3
7493648,0.1,0,0.3,0.1
7513650,0.1,0,0.3,0.2
7503175,0.2,0,0.4,0.2
7493713,0.1,0,0.2,0.2
7497397,0.1,0.1,0.3,0.2
7513583,0.1,0.1,0.4,0.3
7504784,0.4,10.4,0.8,0.5
7497464,0.2,0.1,0.3,0.4
7501060,0.2,0.1,0.5,0.2
7493173,0.1,0.1,0.3,0.3
7488728,0.2,0.1,0.3,0.2
7507240,0.1,0.1,0.4,0.2
7495747,0.1,0.1,0.2,0.2
7512153,0.3,0.2,0.4,0.2
7508569,0.1,0.1,0.3,0.2
7506531,0.2,0.1,0.1,0.2
